participant_id,onset,duration,sample,trial_type,stim_file,value,N170
sub-001_task-N170_eeg,15.0498,0.3000,15412,stimulus,NA,79,-0.9759
sub-001_task-N170_eeg,16.5986,0.3000,16998,stimulus,NA,73,12.8548
sub-001_task-N170_eeg,18.0322,0.3000,18466,stimulus,NA,75,-0.4421
sub-001_task-N170_eeg,21.1641,0.3000,21673,stimulus,NA,17,5.6890
sub-001_task-N170_eeg,22.7305,0.3000,23277,stimulus,NA,32,-1.4978
sub-001_task-N170_eeg,30.3604,0.3000,31090,stimulus,NA,6,-3.9915
sub-001_task-N170_eeg,35.0088,0.3000,35850,stimulus,NA,59,-7.8500
sub-001_task-N170_eeg,38.2080,0.3000,39126,stimulus,NA,56,13.5844
sub-001_task-N170_eeg,42.7393,0.3000,43766,stimulus,NA,33,1.5474
sub-001_task-N170_eeg,44.2227,0.3000,45285,stimulus,NA,15,15.9375
sub-001_task-N170_eeg,45.7217,0.3000,46820,stimulus,NA,46,9.8483
sub-001_task-N170_eeg,47.3047,0.3000,48441,stimulus,NA,18,1.1452
sub-001_task-N170_eeg,50.3701,0.3000,51580,stimulus,NA,65,11.1658
sub-001_task-N170_eeg,53.4854,0.3000,54770,stimulus,NA,16,4.6462
sub-001_task-N170_eeg,54.9189,0.3000,56238,stimulus,NA,1,10.5768
sub-001_task-N170_eeg,57.9346,0.3000,59326,stimulus,NA,35,2.7367
sub-001_task-N170_eeg,59.3340,0.3000,60759,stimulus,NA,3,15.9205
sub-001_task-N170_eeg,63.8652,0.3000,65399,stimulus,NA,9,5.9638
sub-001_task-N170_eeg,68.4971,0.3000,70142,stimulus,NA,80,6.7172
sub-001_task-N170_eeg,71.5459,0.3000,73264,stimulus,NA,70,-6.0300
sub-001_task-N170_eeg,73.1123,0.3000,74868,stimulus,NA,64,6.9451
sub-001_task-N170_eeg,116.9795,0.3000,119788,stimulus,NA,28,-3.3713
sub-001_task-N170_eeg,118.4121,0.3000,121255,stimulus,NA,71,6.5557
sub-001_task-N170_eeg,119.8291,0.3000,122706,stimulus,NA,60,9.4603
sub-001_task-N170_eeg,125.7100,0.3000,128728,stimulus,NA,13,-10.7722
sub-001_task-N170_eeg,127.2930,0.3000,130349,stimulus,NA,43,5.9713
sub-001_task-N170_eeg,131.8408,0.3000,135006,stimulus,NA,77,-2.4403
sub-001_task-N170_eeg,134.9570,0.3000,138197,stimulus,NA,55,-13.3785
sub-001_task-N170_eeg,136.4395,0.3000,139715,stimulus,NA,69,12.1341
sub-001_task-N170_eeg,140.8213,0.3000,144202,stimulus,NA,42,5.2397
sub-001_task-N170_eeg,142.2871,0.3000,145703,stimulus,NA,38,5.6380
sub-001_task-N170_eeg,143.7539,0.3000,147205,stimulus,NA,52,13.9720
sub-001_task-N170_eeg,148.3184,0.3000,151879,stimulus,NA,47,8.2660
sub-001_task-N170_eeg,149.8350,0.3000,153432,stimulus,NA,72,12.9264
sub-001_task-N170_eeg,154.5498,0.3000,158260,stimulus,NA,12,8.3836
sub-001_task-N170_eeg,157.5488,0.3000,161331,stimulus,NA,30,-7.2259
sub-001_task-N170_eeg,159.1143,0.3000,162934,stimulus,NA,29,6.3775
sub-001_task-N170_eeg,215.7773,0.3000,220957,stimulus,NA,45,2.8247
sub-001_task-N170_eeg,218.7764,0.3000,224028,stimulus,NA,49,3.5281
sub-001_task-N170_eeg,223.2754,0.3000,228635,stimulus,NA,51,8.7663
sub-001_task-N170_eeg,224.7246,0.3000,230119,stimulus,NA,4,3.3187
sub-001_task-N170_eeg,226.1904,0.3000,231620,stimulus,NA,63,2.9311
sub-001_task-N170_eeg,229.2061,0.3000,234708,stimulus,NA,68,NA
sub-001_task-N170_eeg,232.1553,0.3000,237728,stimulus,NA,34,NA
sub-001_task-N170_eeg,235.1211,0.3000,240765,stimulus,NA,27,15.7443
sub-001_task-N170_eeg,238.0527,0.3000,243767,stimulus,NA,5,13.5456
sub-001_task-N170_eeg,245.6006,0.3000,251496,stimulus,NA,61,3.6858
sub-001_task-N170_eeg,247.1328,0.3000,253065,stimulus,NA,7,4.4888
sub-001_task-N170_eeg,250.3154,0.3000,256324,stimulus,NA,14,NA
sub-001_task-N170_eeg,253.4141,0.3000,259497,stimulus,NA,48,1.3490
sub-001_task-N170_eeg,254.9971,0.3000,261118,stimulus,NA,54,0.9025
sub-001_task-N170_eeg,258.1123,0.3000,264308,stimulus,NA,37,20.2517
sub-001_task-N170_eeg,261.1943,0.3000,267464,stimulus,NA,57,12.4336
sub-001_task-N170_eeg,265.6934,0.3000,272071,stimulus,NA,26,NA
sub-001_task-N170_eeg,268.5918,0.3000,275039,stimulus,NA,53,4.6761
sub-001_task-N170_eeg,271.5078,0.3000,278025,stimulus,NA,19,11.7865
sub-001_task-N170_eeg,273.0410,0.3000,279595,stimulus,NA,66,6.1385
sub-001_task-N170_eeg,322.9727,0.3000,330725,stimulus,NA,76,-1.8488
sub-001_task-N170_eeg,326.1221,0.3000,333950,stimulus,NA,11,7.7638
sub-001_task-N170_eeg,329.1875,0.3000,337089,stimulus,NA,21,3.9623
sub-001_task-N170_eeg,330.6035,0.3000,338539,stimulus,NA,44,-4.1831
